Date,Symbol,Quantity,Price,Total Cost,Current Close Price,Total Current Value,Cash Available
,RIVN,0.0,0.0,0.0,17.479999542236328,0.0,100000.0
,LCID,0.0,0.0,0.0,5.550000190734863,0.0,100000.0
,F,0.0,0.0,0.0,14.0,0.0,100000.0
,AMC,0.0,0.0,0.0,1.8899999856948853,0.0,100000.0
,DIS,0.0,0.0,0.0,95.62000274658203,0.0,100000.0
,WMT,0.0,0.0,0.0,113.9000015258789,0.0,100000.0
,KO,0.0,0.0,0.0,83.48999786376953,0.0,100000.0
,AVAV,0.0,0.0,0.0,144.5800018310547,0.0,100000.0
,KTOS,0.0,0.0,0.0,48.189998626708984,0.0,100000.0
,NOC,0.0,0.0,0.0,539.6300048828125,0.0,100000.0
,LMT,0.0,0.0,0.0,523.219970703125,0.0,100000.0
,AMBA,0.0,0.0,0.0,77.30000305175781,0.0,100000.0
,TDY,0.0,0.0,0.0,634.5999755859375,0.0,100000.0
,WDC,0.0,0.0,0.0,582.5900268554688,0.0,100000.0
,CRSR,0.0,0.0,0.0,9.65999984741211,0.0,100000.0
,SIMO,0.0,0.0,0.0,326.3500061035156,0.0,100000.0
,STX,0.0,0.0,0.0,910.3400268554688,0.0,100000.0
,NTAP,0.0,0.0,0.0,168.8699951171875,0.0,100000.0
,HPE,0.0,0.0,0.0,48.540000915527344,0.0,100000.0
,BBIO,0.0,0.0,0.0,85.88999938964844,0.0,100000.0
,OPEN,0.0,0.0,0.0,4.764999866485596,0.0,100000.0
,NOK,0.0,0.0,0.0,12.4399995803833,0.0,100000.0
,GTLB,0.0,0.0,0.0,32.41999816894531,0.0,100000.0
,PANW,0.0,0.0,0.0,325.9100036621094,0.0,100000.0
,U,0.0,0.0,0.0,30.889999389648438,0.0,100000.0
,DELL,0.0,0.0,0.0,434.9700012207031,0.0,100000.0
,STM,0.0,0.0,0.0,71.45999908447266,0.0,100000.0
,CSCO,0.0,0.0,0.0,121.30999755859375,0.0,100000.0
,LYFT,0.0,0.0,0.0,15.609999656677246,0.0,100000.0
,SHOP,0.0,0.0,0.0,122.54000091552734,0.0,100000.0
